payment_type,payment_installments,payment_key
credit_card,8,1
credit_card,1,2
credit_card,2,3
credit_card,3,4
credit_card,6,5
boleto,1,6
credit_card,5,7
credit_card,4,8
credit_card,10,9
voucher,1,10
debit_card,1,11
credit_card,7,12
credit_card,12,13
credit_card,9,14
credit_card,13,15
credit_card,15,16
credit_card,24,17
credit_card,11,18
credit_card,18,19
credit_card,14,20
credit_card,20,21
credit_card,21,22
credit_card,17,23
credit_card,22,24
credit_card,0,25
not_defined,1,26
credit_card,16,27
credit_card,23,28
